Region,Category,Name,Price,Image URL,Link
USA,Storage,,149,https://www.ikea.com/us/en/images/products/poaeng-armchair-birch-veneer-skiftebo-dark-gray__0937014_pe793536_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/poaeng-armchair-birch-veneer-skiftebo-dark-gray-s79388461/
USA,Storage,,219,https://www.ikea.com/us/en/images/products/poaeng-armchair-birch-veneer-gunnared-light-green__1192124_pe900869_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/poaeng-armchair-birch-veneer-gunnared-light-green-s39501906/
USA,Lighting,,69,https://www.ikea.com/us/en/images/products/billy-bookcase-white__0625599_pe692385_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/billy-bookcase-white-00263850/
USA,Lighting,,79,https://www.ikea.com/us/en/images/products/kallax-shelf-unit-white__0644757_pe702939_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/
USA,Lighting,,90,https://www.ikea.com/us/en/images/products/alex-drawer-unit-white__0977775_pe813763_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/alex-drawer-unit-white-00473546/
USA,Lighting,,249,https://www.ikea.com/us/en/images/products/storklinta-6-drawer-dresser-white-anchor-unlock-function__1283583_pe932540_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/storklinta-6-drawer-dresser-white-anchor-unlock-function-60561248/
USA,Lighting,,39,https://www.ikea.com/us/en/images/products/billy-bookcase-white__0644260_pe702536_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/billy-bookcase-white-50263838/
USA,Lighting,,219,https://www.ikea.com/us/en/images/products/lagkapten-alex-desk-white__1022432_pe832720_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/lagkapten-alex-desk-white-s99431982/
USA,Lighting,,399,https://www.ikea.com/us/en/images/products/hemnes-8-drawer-dresser-black-brown__0627349_pe693302_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/hemnes-8-drawer-dresser-black-brown-30576190/
USA,Lighting,,99,https://www.ikea.com/us/en/images/products/lack-wall-shelf-unit-white__0246565_pe385541_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/lack-wall-shelf-unit-white-60282186/
USA,Lighting,"15% off all bedframes, discount at checkout
Offer valid from Feb 24, 2025 until Mar 17, 2025
Exclusive IKEA Family offer",399,https://www.ikea.com/us/en/images/products/hemnes-daybed-frame-with-3-drawers-white__1180454_pe896328_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/hemnes-daybed-frame-with-3-drawers-white-30349329/
USA,Lighting,,199,https://www.ikea.com/us/en/images/products/brimnes-wardrobe-with-3-doors-white__1268958_pe928897_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/brimnes-wardrobe-with-3-doors-white-90574800/
USA,Lighting,,69,https://www.ikea.com/us/en/images/products/luktvicker-comforter-set-green__1297976_pe935966_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/luktvicker-comforter-set-green-50577056/
USA,Lighting,,99,https://www.ikea.com/us/en/images/products/rast-6-drawer-dresser-pine__1291249_pe934858_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/rast-6-drawer-dresser-pine-00582164/
